facility,region,specialties,procedures,equipment,capabilities,numberDoctors,capacity
Karaga District Hospital,,['internalMedicine'],[],[],"['Karaga District Hospital is a government primary hospital.', 'Offers general clinical services.', 'NHIS accredited.']",,
"Karikari Brobbey Hospital - Dansoman, Accra",Accra,['internalMedicine'],[],[],"['Provides services in Health & Medical Centers - Hospitals', 'Offers internal medicine services']",,
Karin Dental Clinic,,['dentistry'],"['Offers general dentistry services', 'Provides cosmetic dentistry services', 'Conducts restorative dentistry services', 'Offers orthodontic services']",[],['Collaborates on free dental screening program with Our Lady of Holy Cross School'],,
Kate Afram Clinic,,['gynecologyAndObstetrics'],[],[],"['Provides comprehensive healthcare services for women', 'Listed in Doctors and Clinics, Hospitals, and Medical Tourism categories on GhanaYello', 'GhanaYello listing was registered on 12 Apr 2018']",,
KDS Wellnesscentre,,[],[],[],"['Operates as a Medical Center in Accra, Ghana', 'Has a vision to provide good nutritional services at the wellness centre to cover medical expenses']",,
KEFAM HEALTH SERVICES,,['internalMedicine'],[],[],"['KEFAM HEALTH SERVICES is a privately owned primary hospital.', 'KEFAM HEALTH SERVICES provides general medical services.', 'KEFAM HEALTH SERVICES is NHIS accredited.']",,
Kekele Madina Polyclinic,,['internalMedicine'],[],[],"['Is categorized as a hospital on Facebook.', 'Located in Accra, Ghana.', 'Facebook page is labeled as an unofficial page for Kekele Madina Polyclinic.', 'Page created on November 15, 2018.', 'Has 26 likes.', 'Has 26 followers.', '287 people checked in here.', 'Page status shows Always open.']",,
Keta Government Hospital,,"['internalMedicine', 'dentistry']",[],[],"['Offers internal medicine services', 'Provides dental care services']",,
King's Diagnostics,,[],[],[],[],,
Kings and Queens Medical University Teaching Hospital,Eastern Region,"['internalMedicine', 'generalSurgery', 'anesthesia', 'cardiology', 'pediatrics', 'gynecologyAndObstetrics', 'radiology', 'emergencyMedicine', 'pathology', 'nephrology']",[],[],"['Licensed by the Ministry of Health, Ghana and the Health Facilities Regulatory Agency (HeFRA) as a medical facility', 'Accredited by the National Health Insurance Authority (NHIA), Ghana to accept all NHIS health insurance policies', 'Has a Memorandum of Understanding with GAB Health Insurance, Ghana to allow private insurance policy holders to access healthcare at Kings and Queens Teaching Hospital', 'Has Memorandum of Understanding with Eastern Regional Hospital, Koforidua and Tetteh Quarshie Memorial Hospital, Mampong for clinical rotation of medical students', 'Affiliated with Kings and Queens Medical University College', 'Signed an affiliation with University for Development Studies, Tamale for training of medical doctors', 'Signed a Memorandum of Understanding with NCPC China for training of pharmacists, pharmaceutical research and manufacturing of medicines (signed February 15, 2017)']",,
Kings Dental Clinic,,['dentistry'],[],[],['Operates as a dentist and dental office'],,
Kintampo Sunkwa Clinic,,['internalMedicine'],[],[],[],,
KK Health CARE Center,,"['pediatrics', 'gynecologyAndObstetrics', 'internalMedicine']",['Provides health care services for women and children'],[],"['Operates 24/7 (Always open)', 'Categorized as a hospital', 'Offers medical facilities at a low cost']",,
KLIMOVIC MEMORIAL HOSPITAL,Central Region,['internalMedicine'],[],[],"['Provides general medical services', 'NHIS accredited']",,
KNUST Hospital,Ashanti Region,['internalMedicine'],[],[],"['KNUST Hospital is a primary hospital', 'KNUST Hospital is government-owned', 'KNUST Hospital provides general medical services', 'KNUST Hospital is NHIS-accredited']",,
Koampaul Healthcare,Accra,[],[],[],[],,
Koforidua Clinic,,['internalMedicine'],[],[],"['Fully Ghanaian-owned private healthcare institution', 'Describes itself as a first-class private healthcare institution', 'Has extended working hours']",,
"Koforidua Regional Hospital, Eastern Region, Ghana",Eastern Region,['internalMedicine'],[],[],"['Located in Koforidua, Eastern Region, Ghana', ""Facebook page indicates 'Always open'""]",,
Kojokumikrom Rural Clinic,,['internalMedicine'],[],[],"['Open 24/7', 'Located in Sromani, Ghana', 'Categorized as Hospital on Facebook', 'Facebook page created on June 1, 2019']",,
Kokofu General Hospital,,[],['Specializes in dermatology and skin care'],[],"['Provides 24-hour service', 'Known for its dermatological specialization']",,
Komfo Anokye Teaching Hospital,,"['internalMedicine', 'orthopedicSurgery', 'plasticSurgery', 'cardiology']","['Performs pediatric surgery', 'Conducts pediatric urology procedures', 'Offers pediatric neurosurgery', 'Provides craniofacial and cleft oral maxillofacial surgery', 'Conducts orthopedic surgery', 'Performs plastic surgery', 'Offers cardiac surgery']",[],[],,
Komfo Anokye Teaching Hospital (KATH),,"['emergencyMedicine', 'internalMedicine']",[],[],"['Provides emergency medicine services', 'Engages in emergency preparedness and disaster response', 'Offers internal medicine services']",,
Korle Bu Teaching Hospital,,"['cardiology', 'pediatrics', 'generalSurgery']","['Holter monitoring is offered for cardiac rhythm assessment', 'Electrocardiogram (ECG) testing is provided', '2D Echocardiography (ECHO) testing is provided', 'Exercise Stress Test is offered', 'Cardiac Consultation services are provided', 'Open heart surgeries are performed at the National Cardiothoracic Centre (NCTC) of Korle Bu Teaching Hospital', '27 free pediatric heart surgeries were performed in collaboration with the Gerald Asamoah Foundation and Kinderherzen']","['Holter monitor equipment for rhythm monitoring', 'Electrocardiography (ECG) equipment', '2D Echocardiography (ECHO) equipment', 'Exercise stress testing equipment']",['Affiliated with Korle Bu Teaching Hospital as the National Cardiothoracic Centre (NCTC)'],,
Korle-Bu Teaching Hospital,,"['cardiology', 'pediatrics', 'internalMedicine']","['Performs cardiothoracic surgery', 'Conducts vascular surgery', 'Provides pediatric medical services', 'Offers internal medicine services']",[],"['Serves as a tertiary referral centre for cardiothoracic and vascular diseases for adults and pediatrics', 'Launched its 35th anniversary in 2024']",,
Kpendua,,['internalMedicine'],[],[],"['Categorized as a hospital', 'Open 24/7']",,
Kpone Health Centre,,['internalMedicine'],[],[],"['Operates 24/7', 'Located in Tema, Ghana', 'Listed as a hospital on Facebook', 'Page created on 11 July 2019']",,
Kristo Nti Maternity Home,,['gynecologyAndObstetrics'],[],[],['Registered with GhanaYello on 12 Apr 2018'],,
Kropo Charity Hospital,,['internalMedicine'],[],[],"['Private primary hospital located at Suame Anomanye Junction, Ghana', 'Offers general healthcare services', 'NHIS accredited']",,
Kumaning Medical Centre,,"['internalMedicine', 'generalSurgery']",[],['Has a modern operating theatre'],['Provides primary hospital healthcare services'],,
Kumasi Children Hospital,,['pediatrics'],[],[],"['Specializes in pediatrics', 'Offers internal medicine services']",,
"Kumoji Hospital - Cantonments, Accra",,['internalMedicine'],[],[],['Provides services in Health & Medical Centers'],,
Kuntanase Government Hospital,Ashanti,['internalMedicine'],[],[],"['Located in Kuntanase, Ghana', 'Maintains a Facebook page: Kuntanase Government hospital']",,
Kwabeng RCH,,"['gynecologyAndObstetrics', 'internalMedicine']","['Provides maternal and child health services', 'Offers internal medicine consultations']",[],['Operates 24/7'],,
Kwabenya Community Hospital,,['internalMedicine'],[],[],"['Describes itself as a fully equipped ultra modern health facility', 'Is always open']",,
Kwadaso Community Hospital,,['internalMedicine'],[],['Has fully equipped hospital equipment'],['Offers online booking'],,
Kwadwo Boapim Herbal Clinic,,"['gynecologyAndObstetrics', 'cardiology', 'pathology']","['Treats chronic diseases including diabetes, obesity, fibroid, impotence, barrenness, stroke, and hypertension']",[],"['Ministry of Health-approved Herbal Clinic and Research Lab (Reg. No. TMPP01644)', 'Specializes in treating chronic and lifestyle diseases']",,
Kwesimintsim Hospital,,['internalMedicine'],[],[],[],,
La Fe Eye Care & Optical Services,,['ophthalmology'],"['Offers Eye Care and Optical services', 'Provides corporate screening services', 'Conducts community mass screening programs']",[],"['Promoted 360 primary Eye Care in a February 21, 2024 Facebook post']",,
"La General Hospital, Accra Ghana",,['internalMedicine'],[],[],[],,
La Road Dental Clinic,,['dentistry'],['Offers general dentistry services'],[],[],,
Labone Dialysis Centre,,['nephrology'],['Offers customized service for clients with Chronic Kidney Disease (CKD)'],[],['Provides excellent customer service'],,
Labone Medical Centre,,"['dentistry', 'internalMedicine']",['Offers dental care'],[],[],,
"Lakeside Clinic - North Industrial Area, Accra",,['internalMedicine'],[],[],[],,
Lanbell Laboratory and Diagnostic Centre,East Legon,['pathology'],['Provides diagnostic laboratory services'],[],['Emphasizes accurate and timely diagnostic results'],,
Lapaz Community Hospital,,['internalMedicine'],[],[],"['Always open', 'Located in Accra, Ghana', 'Facebook page created on March 9, 2020']",,
Larkai Medical Centre,Greater Accra,[],[],[],[],,
"LARS Medical Center - Sunyani Abesim Opposite Victory Hardware, Sunyani, Ghana",,['internalMedicine'],[],[],['LARS Medical Center is a private health care provider'],,
LaserGlow Dental Clinic,Greater Accra,['dentistry'],['Offers teeth whitening services'],[],[],,
"LawFam Nutritional Clinic - 47 Fertilizer Road, Teshie, Ghana",,[],"['Specializes in gut health to optimize holistic wellness', 'Resolves most fertility problems']",[],"['Delivers nutrition-focused care emphasizing gut health', 'Specializes in internal medicine, gastroenterology, and reproductive endocrinology and infertility']",,
LEDing Medical Lab,,"['pathology', 'infectiousDiseases']",['Offers COVID-19 PCR testing for travelers and individuals'],[],[],,
LEDing Medical Laboratory,,['pathology'],['Provides Polymerase Chain Reaction (PCR) testing for COVID-19'],[],['Licensed clinical laboratory'],,
"LEKMA Hospital - Teshie, Ghana",,['internalMedicine'],[],[],"['Serves the Ledzokuku-Krowor Municipality and beyond', 'Always open for healthcare services', 'Mission statement emphasizes collaboration with stakeholders in the health sector']",,
Lekma Hospital – Teshie,Greater Accra,"['internalMedicine', 'radiology', 'pathology', 'ophthalmology']",[],"['Has laboratory facilities', 'Has radiological facilities']","['Has a 100-bed capacity general hospital', 'Serves as the municipal hospital for the Ledzokuku-Krowor area (Teshie and Nungua) and beyond', 'Includes a Malaria Research Centre', 'Includes a Herbal Medicine Unit', 'Has 22 doctors including 9 specialists', 'Has over 200 nurses', 'Opened an eye center in 2013', ""Governmental facility funded by the Government of the People's Republic of China"", 'Construction completed in 16 months and inaugurated on 21 December 2010']",,100-bed
Lenzvision Optical Center,,['ophthalmology'],[],[],"['Specializes in ophthalmology', 'Offers online booking for appointments', 'Provides delivery services for products', 'Allows in-store pickup for orders', 'Has a website at lenzvision.com']",,
Life Healthcare Center Ghana,,"['internalMedicine', 'dentistry', 'ophthalmology', 'pathology']",[],[],"['Offers medical, dental, optical, laboratory, and pharmacy services', 'Appointments and walk-ins are allowed', 'Locations include Achimota Mall, Accra Mall, and Junction Mall in Accra, Ghana']",,
Life Sciences Medical Centre,,"['internalMedicine', 'ophthalmology', 'radiology', 'pathology']",['Offers General Medical and Eye Consultation'],"['Operates a Fully Automated Medical Laboratory', 'Provides Medical Imaging services']","['Provides medical consumables', 'Offers both general medical and eye consultation services']",,
Little Hearts Medical Practice,,['pediatrics'],[],[],['Specializes in pediatrics'],,
Lizzie's Maternity Home,,['gynecologyAndObstetrics'],[],[],"['Provides obstetrics and maternity care', 'Serves as a safe haven for mothers and newborns']",,
Lod Health Lounge,,"['gynecologyAndObstetrics', 'generalSurgery']",['Offers open fibroid surgery'],[],[],,
Lucy Memorial Hospital,,"['internalMedicine', 'emergencyMedicine']",[],[],"['Provides 24-hour ambulance service for emergency cases (outdoor and indoor)', 'Always open (24/7 operation)', 'Self-described as a first-class hospital providing high-quality healthcare services']",,
MAB International Hospital,,"['internalMedicine', 'emergencyMedicine', 'generalSurgery', 'radiology', 'pediatrics', 'gynecologyAndObstetrics']","['Offers general surgery services', 'Provides emergency medical services', 'Conducts pediatric care', 'Offers maternity services', 'Provides physiotherapy and reflexology']",[],"['Accredited by the Health Facilities Regulatory Agency (HeFRA)', 'Accredited by the National Health Insurance Authority (NHIA) of Ghana', 'Has over 100 general beds', 'Offers radiology services', 'Has an emergency unit']",,
Madina Polyclinic Kekele,,['internalMedicine'],[],[],"['Open 24/7', 'Offers all outpatient department (OPD) services', 'Identifies as a world-class primary healthcare facility with dedicated staff']",,
MAGGIE'S MATERNITY HOME,,['gynecologyAndObstetrics'],"['Offers antenatal care services', 'Provides post-natal care services']",[],"['Private maternity home', 'NHIS accredited']",,
Makango Clinic,,['internalMedicine'],[],[],"['Operates as a hospital', 'Open 24/7']",,
Mampong Quality Hospital,Ashanti,[],[],[],"['Mampong Quality Hospital is a private hospital located in Mampong, Ashanti, Ghana.']",,
Mamudu PHC Clinic,Western,['internalMedicine'],[],[],"['Private clinic located in Western, Mamudukrom, Ghana', 'Listed on GhanaYello since 12 Apr 2018']",,
MANAM Ghana Dental House,,['dentistry'],['Offers a comprehensive set of oral care services'],[],[],,
Manhyia District Hospital,Ashanti Region,['internalMedicine'],[],[],"['Offers general internal medicine services', 'Accredited by NHIS']",,
Mankranso Government Hospital,,['internalMedicine'],[],[],"['Located in Mankranso, Ghana', 'Page category is Hospital and is an unofficial page', 'Facebook page indicates the hospital is always open']",,
Manna Mission Hospital,Greater Accra,['internalMedicine'],[],[],"['Always open with 24/7 operations', 'Recognized by Ledzokuku Municipal Health Directorate (GHS) under the Ghana Ministry of Health as The Best Private Health Facility for timely and accurate data submission in 2024', '234 people checked in here']",,
"Mansowa Herbal Clinic, Kasoa",SH,[],"['Treats diabetes', 'Treats infertility', 'Treats sciatica', 'Treats prostate disorders']",[],"['Offers services in endocrinology and diabetes management', 'Offers services in reproductive endocrinology and infertility', 'Offers services in urology', 'Offers services in pain medicine and physical medicine rehabilitation']",,
Margaret Marquart Catholic Hospital,Volta,['internalMedicine'],[],[],"['Margaret Marquart Catholic Hospital is a CHST Hospital in the Catholic Health Service Trust', 'Located in Kpando, North Tongu District, Volta Region, Ghana', 'Hospital type: District Hospital']",,
Marie Stopes Ghana (Ashiaman Clinic),,"['internalMedicine', 'gynecologyAndObstetrics']",['Provides pregnancy care services'],[],['Offers telemedicine services'],,
Marie Stopes Ghana (Santasi Clinic),,['gynecologyAndObstetrics'],"['Offers gynecology and obstetrics services', 'Provides family planning and complex contraception services']",[],"['Operates as a pregnancy care center', 'Offers telemedicine services']",,
Marie Stopes Ghana (Takoradi Clinic),,"['internalMedicine', 'gynecologyAndObstetrics']",['Operates as a pregnancy care center'],[],"['Offers telemedicine services', 'Provides family planning and complex contraception services', 'Specializes in gynecology and obstetrics', 'Provides internal medicine services']",,
"Marie Stopes Ghana, 26 Akwei Street, Tesano, Accra, Ghana",,"['gynecologyAndObstetrics', 'internalMedicine']","['Provides contraception and family planning services', 'Offers Pregnancy Options Counselling Services', 'Offers Sexual and Reproductive Health Services', 'Offers Services for Men', 'Offers General Health Services']",[],"['Operates mobile outreach teams', 'Operates BlueStar Franchise Network', 'Operates call centre teams as part of service delivery', 'Is part of MSI Reproductive Choices', 'Maintains quality assurance for clinical quality and family planning services', 'Opened in 2006']",,
Mark's Dental Clinic at Valco Towers,,['dentistry'],[],[],"['Operates as a dentist and dental office', 'Located in Accra, Ghana', 'Page category is Dentist & Dental Office', 'Page is labeled unofficial', 'Facebook page was created on April 24, 2017', 'Has 9 likes', 'Has 9 followers', 'Has 37 check-ins']",,
Mary Lucy Hospital And Fertility Centre,,['internalMedicine'],[],[],"['Specializes in reproductive endocrinology and infertility', 'Offers internal medicine services', 'Commits to providing quality patient care in a safe manner']",,
Maternal and Child Health Hospital,,"['internalMedicine', 'gynecologyAndObstetrics', 'pediatrics']","['Provides obstetric care including prenatal and postnatal services', 'Offers gynecological examinations and treatments', 'Conducts maternal-fetal medicine consultations']",[],"['Specializes in maternal and child health services', 'Offers comprehensive maternity care', 'Provides internal medicine services']",,
"Maternal and Child Health Hospital, Pampaso",,"['pediatrics', 'gynecologyAndObstetrics', 'emergencyMedicine']","['Specializes in care for malnourished children and adults', 'Offers 24-hour emergency services']",[],"['Established by the Government of Gold Coast in 1910', 'Located in Subin Sub-Metro within the Kumasi Metropolis', 'Only hospital in the Northern part of Ghana dedicated to care for malnourished children and adults', 'Has a Physiotherapy Unit (Physiotherapy Unit-MCHH)']",,
Matthias Catholic Hospital,Techiman Municipal,['internalMedicine'],[],[],[],,
Max-Mum Medical Centre,,"['internalMedicine', 'pathology']",[],[],"['Operates as a hospital, medical laboratory, and pharmacy/drugstore']",,
MDS-Lancet Laboratories,,['pathology'],[],[],"['Is a medical laboratory', 'Offers roadside collection service']",,
MEDHealth Centers,,"['pediatrics', 'radiology', 'cardiology', 'gynecologyAndObstetrics', 'generalSurgery']","['Provides medical services for pediatric and geriatric patients', 'Performs ultrasound imaging', 'Performs electrocardiography (ECG)', 'Performs Pap smear testing', 'Performs breast examinations', 'Performs mammography', 'Performs minor surgical procedures']",[],[],,
Medicaid Diagnostics & Laboratory,,['pathology'],"['Offers STI screening package including syphilis, gonorrhea, HIV, and hepatitis B']",[],['Operates an ultramodern commercial medical laboratory and diagnostic centre'],,
"Medical Center - East Legon, Accra, Ghana",,['internalMedicine'],[],[],[],,
Medical Lab,,['pathology'],[],['The Medical Lab is well equipped'],"['Provides accurate laboratory results to doctors for the best medical practice', 'Maintains the highest standard of laboratory service by adhering to approved international standards']",,
"Medicas Hospital, Mampong Akwapim",,['internalMedicine'],[],[],[],,
"Medicas Hospital, Mampong-Akuapem",,"['internalMedicine', 'gynecologyAndObstetrics', 'orthopedicSurgery', 'dentistry', 'anesthesia']","['Offers endoscopy services for diagnostic and interventional procedures', 'Provides dental procedures through the Dental Unit']","['Uses endoscopy equipment in the Endoscopy Unit', 'Utilizes dental equipment in the Dental Unit', 'Features a gym with pool and spa facilities as part of the wellness infrastructure', 'Has a Care Home facility equipped with mobility devices']","['Provides services in internal medicine, gynecology and obstetrics, orthopedic surgery, endocrinology and diabetes and metabolism, dentistry, and physical medicine and rehabilitation', 'Offers 24-hour Care Home services', 'Joined NHIS in 2008']",,
Medikah Diagnostic Services -- Weija-Gbawe Municipal District,Greater Accra Region,"['pathology', 'radiology', 'cardiology']","['Offers ultrasound examination', 'Conducts colour Doppler imaging', 'Performs echocardiography (ECHO)', 'Provides electrocardiogram (ECG) testing', 'Conducts digital X-ray imaging']",[],"['Established in 2012', 'Offers 24/7 diagnostic imaging and medical laboratory services', 'Provides diagnostic laboratory services focusing on scan, lab, ECG, digital X-ray, and ECHO', 'Offers corporate medical plan']",,
Mediwest Laboratory Services-MLS,,['pathology'],[],[],"['Provides medical laboratory services (both static and mobile) in Takoradi, Ghana', 'Offers medical laboratory consultation']",,
Medlab,,['pathology'],[],[],['Medlab is categorized as a medical laboratory.'],,
Medobal Ghana,,[],[],[],['Provides medical services at affordable costs with quality care'],,
MEDsource Diagnostic Centre,,[],[],[],[],,
MedTech Laboratory,,['pathology'],[],['Antigen testing equipment approved by WHO and by the Ghana Food and Drugs Board'],"['HEFRA accredited facility', 'Laboratory personnel trained to WHO standards']",,
Medtech Laboratory Ghana,,['pathology'],['Provides medical laboratory diagnostics'],['Operates an ultra-modern facility'],"['HEFRA accredited laboratory', 'Operates with WHO standard trained personnel', 'Provides home services on request']",,
MedTech Medical Center,,"['pediatrics', 'gynecologyAndObstetrics']",[],[],['Specializes in healthcare services for women and children'],,
MedyLife Healthcare,,"['radiology', 'pathology']",[],[],"['Operates a medical diagnostic center in Accra, Ghana', 'Provides medical imaging and pathology services', 'Describes itself as a state-of-the-art diagnostic center']",,
Meland Pharmacy,,[],[],[],['Provides health services to clients'],,
"Memento Eye Center, Dodowa",,['ophthalmology'],"['Performs eye tests', 'Prescribes spectacles', 'Prescribes eye medications']",[],"['Provides on-site eye tests', 'Prescribes spectacles on-site', 'Prescribes eye medications on-site']",,
Mempeasem Health Centre,,['internalMedicine'],[],[],"['Government-owned health centre', 'Offers general health services', 'NHIS accredited (National Health Insurance Scheme)']",,
"MENRI Pharmacy - 22 Stewart Avenue, Uaddar Barracks, Bantama, Kumasi, Ghana",,[],[],[],"['Employs pharmacists, pharmacy technicians, and medicine counter assistants']",,
Mepom RCH,,"['gynecologyAndObstetrics', 'internalMedicine']","['Offers maternal-fetal medicine services', 'Provides internal medicine consultations']",[],"['Operates as a hospital', 'Always open']",,
Mercy Women Catholic Hospital - Mankessim,,"['gynecologyAndObstetrics', 'emergencyMedicine', 'radiology', 'pediatrics', 'internalMedicine']","['Obstetric fistula repair is performed', 'X-ray imaging is performed', 'ECG testing is performed', 'Ultrasound scanning is performed']","['X-ray imaging equipment', 'ECG machine', 'Ultrasound scanner', 'On-site laboratory facilities']","['24-hour Accident and Emergency Unit', 'Eye Clinic staffed by one optometrist, one ophthalmic nurse, and two nurses, serving about 50 eye patients daily', 'Physiotherapy Unit staffed by a physiotherapist and two physiotherapy assistants', 'Child Welfare Clinic operates Monday to Friday serving children aged 0–5 years and has community/public health officers', 'Antenatal care unit handles about 70 pregnant women daily and provides focused antenatal care and counselling', 'Fistula Unit has a 45-bed capacity ward for obstetric fistula repair', 'Has a 24-hour emergency hotline', 'Has a 45-bed capacity ward with a spacious Out Patients Department (OPD), a laboratory, consulting and examination rooms, pharmacy, etc.']",,
Mercy Women’s Catholic Hospital,Central,['internalMedicine'],[],[],"['Affiliated with Catholic Health Service Trust Ghana (CHST) Hospitals', 'Located in Mankessim, Central Region, Gomoa West District, Diocese: Cape Coast']",,
Meridian Medical Centre,,['internalMedicine'],[],[],"['Provides excellent healthcare services through effective, professional and customer-centric methods', 'Aims to meet the needs and expectations of patients and the community']",,
Merkot Pharmacy,,[],[],[],"['Operates as a wholesale and retail pharmacy', 'Offers delivery services', 'Provides reservation services', 'Offers in-store pickup']",,
"Methodist Clinic, Amakom-lake Bosomtwe",,['internalMedicine'],[],[],"['NHIS accredited', 'Offers general health services']",,
Methodist Faith Healing Hospital,Ashanti,"['internalMedicine', 'gynecologyAndObstetrics', 'pathology', 'radiology', 'generalSurgery', 'emergencyMedicine']","['Offers maternity services', 'Provides diagnostic services including lab tests, X-ray, and scans', 'Conducts surgeries', 'Delivers accident and emergency care', 'Offers public health services', 'Provides optometry services', 'Offers ENT (ear, nose & throat) services']",[],"['Has 112 beds', 'Serves as a referral hospital for Afigya Kwabre and Kwabre East districts', 'Provides inpatient care', 'Offers outpatient services since March 25th, 1991', 'Dedicated on September 24th, 1988', 'Aims to provide preventive, curative, and rehabilitative services', 'Seeks to provide teaching, training, and research opportunities for healthcare personnel']",,
"Methodist Hospital, Wenchi",Bono,"['orthopedicSurgery', 'dentistry', 'ophthalmology', 'radiology', 'emergencyMedicine', 'internalMedicine']","['Offers urology services', 'Performs orthopedic surgery', 'Provides dental services', 'Conducts ophthalmology procedures', 'Offers radiology services', 'Provides clinical pathology services', 'Offers infectious diseases treatment', 'Conducts hematology services', 'Provides endocrinology and diabetes management', 'Offers chronic disease prevention and lifestyle medicine', 'Provides emergency medicine services', 'Offers internal medicine services']","['Operates 3 operating theatres', 'Has on-site X-Ray facilities', 'Has on-site ultrasound facilities', 'Uses endoscope equipment']","['238-bed facility', 'Referral center for 19 health facilities within Wenchi Municipality, Tain and Banda Districts', 'Offers specialist services in urology, orthopedics, dental, and eye care', 'Operates special clinics for hypertensive, diabetic, ART, and sickle cell patients', 'Has 75 medical staff', 'Employs over 300 nurses', 'Provides on-site laboratory services', 'Operates three on-site pharmacies 24/7, with one dedicated to wards and the other to serve the OPD unit']",,
Metro Health Hospital,,"['gynecologyAndObstetrics', 'orthopedicSurgery', 'radiology', 'cardiology', 'nephrology', 'internalMedicine']","['Provides advanced ultrasound imaging including cardiology, kidney/prostate, fetal anomaly, and general ultrasound']",['Uses ultrasound imaging equipment for advanced ultrasound services'],"['Offers 24/7 help and support', 'ElderCare Unit opened on 1 September 2020', 'Departments include Ear, Nose & Throat Unit, Eye Unit, Laboratory Unit, Obstetrics & Gynecology Unit, Hypertensive Clinic, Diabetes Clinic, Pharmacy Unit, Out-Patient and In-Patient Departments', 'Offers ElderlyCare/Geriatric Care services', 'Obstetrics & Gynecology clinic operates Mondays 8:00am–2:00pm', 'Ear, Nose & Throat clinic operates Wednesdays 3:30pm–6:00pm', 'Orthopedics clinic operates Wednesdays 3:00pm–6:00pm']",,
Metropolis Ghana,,['pathology'],"['Offers medical laboratory testing with a range of over 4,500 diagnostic tests for early diagnosis']","['Operates a medical laboratory offering over 4,500 tests']",[],,
Minutes Medical and Fertility Hospital,,['gynecologyAndObstetrics'],"['Performs intrauterine insemination (IUI) procedures', 'Performs in vitro fertilization (IVF) procedures', 'Provides fertility surrogacy services']",[],['Fertility and surrogacy center offering IUI and IVF by specialized doctors'],,
Mission Clinic,Greater Accra Region,"['familyMedicine', 'dentistry', 'ophthalmology', 'pediatrics', 'pathology']","['Provides family medicine services', 'Provides dental care', 'Provides optical care', 'Offers pediatric neurodevelopmental services', 'Offers pediatric psychiatric services']",['Has an onsite laboratory'],[],,
Mission Pediatrics,,['pediatrics'],[],[],"['Focuses on pediatric care', 'Aims to be the best pediatric practice in the country']",,
Mizprom Herbal Centre,,['infectiousDiseases'],"['Treats stomach ulcers', 'Manages prostate enlargement', 'Provides infertility treatments', 'Addresses erectile dysfunction', 'Treats typhoid fever']",[],"['Specializes in gastroenterology', 'Specializes in urology', 'Specializes in reproductive endocrinology and infertility', 'Specializes in infectious diseases']",,
MMALABS (DORMAA BRANCH),,['pathology'],[],[],"['Operates as a medical laboratory in Dormaa Ahenkro, Ghana', 'Offers roadside collection and in-store collection services']",,
MMALABS (KUMASI MAIN),,['pathology'],[],[],"['MMALABS Kumasi Main is a medical laboratory', 'Offers curbside pickup and in-store pickup']",,
Modern Way Herbal Clinic,,"['infectiousDiseases', 'gynecologyAndObstetrics']","['Provides herbal medicine treatments', 'Treats chronic infections', 'Treats painful urination', 'Treats discharge, rashes, and itching', 'Treats prostate infections', 'Treats infertility issues', 'Treats pelvic inflammatory disease (PID)', 'Treats ovarian cysts']",[],"['Specializes in prostate diseases', 'Specializes in sexually transmitted infections (STIs)', 'Offers services in internal medicine, urology, infectious diseases, gynecology and obstetrics, reproductive endocrinology and infertility']",,
"MonMed Laboratory Services, 88 Ameyaw Street, Techiman, Ghana",,['pathology'],"['Offers 24-hour medical laboratory services', 'Provides home laboratory service in Ghana']",[],"['Delivers test results via Email, WhatsApp or hand copy', 'Always open (24/7) for services']",,
Mother of God Hospital,,"['gynecologyAndObstetrics', 'internalMedicine']",[],[],"['Established in January 2008 by Dr. Fulgence Rubayiza', 'Provides general and specialist care to the Ashaiman community', 'Has about 10 main wards with supporting units', 'Bed capacity of about 120 beds', 'Organizes outreaches and health education programs to surrounding communities', 'Open 24 hours Monday through Sunday', 'Founded on Christian values with compassion']",,
Mother- and Child Clinic Twabidi,Central Ghana,"['gynecologyAndObstetrics', 'pediatrics']","['Provides simple medical treatment', 'Administers vaccinations', 'Conducts pregnancy checks', 'Offers health education']",['Has instruments and furniture financed by the Madamfo Foundation'],"['Offers basic healthcare services', 'Specializes in maternal and child health', 'Includes gynecology and obstetrics services', 'Includes pediatrics services']",,
"Mother-Love Dental Clinic - Fafraha-Dodowa Road., Accra, Ghana",,['dentistry'],['Offers a full array of up-to-date dental services'],[],"['Provides quality and affordable dental care', 'Serves entire families with a wide range of innovative services']",,
Mother-Love Hospital,Greater Accra,"['gynecologyAndObstetrics', 'pediatrics', 'generalSurgery', 'radiology', 'emergencyMedicine', 'dentistry']","['Offers obstetrics and gynecology services including prenatal care and childbirth support', 'Provides pediatric services', 'Offers ophthalmology services', 'Provides ear, nose and throat services', 'Provides surgery services', 'Provides clinical psychology services', 'Offers dietetics and nutrition services']","['Has ultrasound unit onsite', 'Has X-ray imaging equipment onsite', 'Has ECG equipment onsite']","['24/7 emergency services', 'General OPD operates 24 hours', 'Departments include Maternity, Dentistry, Pharmacy, Laboratory, and Ultrasound Unit', 'Offers inpatient and outpatient services']",,
Mount Carmel Hospital and Fertility Center,,"['internalMedicine', 'gynecologyAndObstetrics']","['Offers reproductive endocrinology and infertility services', 'Provides internal medicine consultations']",[],"['Operates 24/7', 'Is a private health care organization']",,
"Mssi, Korle Bu Medical Center",,['internalMedicine'],[],[],"['Located in Accra, Ghana', 'Always open']",,
Multicare Health Care Center,Greater Accra,['internalMedicine'],[],[],"['Adult hospital located in Dzorwulu, Ayawaso West, Greater Accra, Accra']",,
